NM_MUN,delta_other_crops,suit_soybean,suit_sugarcane,underused_soybean,underused_sugarcane,zone,opportunity
Cidade Ocidental,-0.003511182378876463,0.4099301945522238,0.44999158744588785,0.34627065581945476,0.47447850750621545,2.8608843274110543,0.14194679730779522
Chapadão do Céu,-0.0312512090876842,0.7301837389267473,0.7742100803642844,0.2086773632257801,0.6691948268253888,2.028802394429575,0.15237281730957503
Urutaí,-0.010657274669717387,0.5604240634876544,0.6504983819043506,0.5167428697790052,0.6861949494508791,0.23917381425180484,0.2895951388598219
Cezarina,-0.04789338904895864,0.6905055699183572,0.7391216454497294,0.5351234242963747,0.7649428505329368,8.679548347655619,0.3695057050704311
Colinas do Sul,-0.00855157738380811,0.108946209480368,0.1160089180444092,0.12525639951986148,0.13155612316109755,4.017315987617715,0.013646209940847495
Cocalzinho de Goiás,-0.006806571882692836,0.34217911015818064,0.41037544014537225,0.283635177374793,0.42579351742716726,1.717990827302228,0.0970540326036644
Marzagão,-0.017648350239513052,0.4885327372551399,0.5982977179006379,0.4100811711394253,0.6382454339946133,3.292059466369749,0.20033807703353693
Teresina de Goiás,-0.006770991029502232,0.09657524103509864,0.10039567014261463,0.11090650887431208,0.1157832866243114,3.9066077910829544,0.010710822826897996
Matrinchã,-0.09278924750977754,0.45041135954411265,0.3369084934775478,0.5620045555293277,0.3605851678586869,4.475945721961473,0.2531332359259493
Ceres,-0.05227452368730889,0.4688914648287766,0.6305149729652346,0.4868786185253036,0.6360223193235739,3.478278633764105,0.22829322863414073
Campinorte,-0.061721567458909866,0.42542065532243006,0.4612313191039696,0.34028662657260605,0.49263184491516127,4.547676251895851,0.14476495967397712
Campo Alegre de Goiás,-0.006027241837386575,0.5291074850759516,0.6048957858072757,0.25887532231341304,0.6146673069140841,0.18258927690413634,0.13697287073747635
Taquaral de Goiás,-0.043287345301830496,0.5563702290431517,0.6641639724655601,0.5469567882037599,0.6650467796486601,2.318401210244706,0.30431047352963253
Mara Rosa,-0.11042820706454888,0.5276489278525676,0.49795541256456544,0.6680118851720854,0.6235853806918651,4.616368905392046,0.35247575500382333
Campestre de Goiás,-0.03796865515402722,0.5579149105580751,0.6201685963213468,0.5617002834205402,0.647236928094778,7.1642794189065135,0.31338096338501614
Caldazinha,-0.018836003870731782,0.5192018026056348,0.64540220256359,0.5497116450845114,0.6836400922364555,3.2424371209977148,0.28541127704118724
Trindade,-0.04213584419421515,0.6531672153842494,0.7317118660459595,0.5991487962351559,0.7510301046022909,6.139642552065319,0.39134435083774183
Campinaçu,-0.02153880562279623,0.18201700610043814,0.21837869831151993,0.1653535226720673,0.20934236055388505,4.147622426878782,0.030097153144930607
Mimoso de Goiás,-0.014491725027874672,0.356111130516277,0.3889071018561235,0.2622064971563648,0.39539087412164303,2.3089649918448942,0.09337465213106604
Terezópolis de Goiás,-0.02270605477725246,0.585250395648977,0.6654578763803093,0.5339447148817804,0.6891472531293465,6.922355267732964,0.3124913556392422
Maurilândia,-0.07606842387519212,0.8730241973258365,0.8757295411185629,0.3452074329881518,0.6781778034422201,8.56752081743412,0.3013744420953937
Três Ranchos,-0.007030316888863298,0.4864345421613167,0.5970592359391494,0.4314656013808077,0.5502657506943421,1.2312784677905857,0.20987977226603036
Campos Verdes,-0.13226728729499126,0.5618296702653932,0.4658589215951315,0.7828967464284705,0.5884906099920199,4.2999509029643175,0.43985462089775673
Mineiros,-0.023152747218855817,0.5101976450513944,0.5272770018560844,0.4373478983832035,0.5121529068177674,2.110841153142192,0.22313386782328698
Castelândia,-0.06998804739592955,0.8381943758561029,0.8509568059773439,0.5351784264444027,0.6953663614107699,8.68255540202245,0.4485835471252174
Minaçu,-0.02259734325359036,0.19097731833644085,0.2052972063661996,0.21257959997388123,0.2265269672757076,3.8633495506006934,0.04059788193604517
Silvânia,-0.009867144350719892,0.6120178123775571,0.6799943841783909,0.26935159366416817,0.7023669275237947,0.29697448366076096,0.16484797311475288
Carmo do Rio Verde,-0.06894864247996466,0.6960621256286206,0.7707132837336256,0.7514278380465645,0.6933462998680795,5.027427688174602,0.5230404582072106
Campo Limpo de Goiás,-0.023813457556954385,0.5448728242433573,0.6434134291644595,0.49304854602259035,0.6580674717615953,5.302195986541692,0.2686487537604097
Campos Belos,-0.04586797318141059,0.41892836621546464,0.440317430238294,0.43145632962848546,0.4555851259773211,7.91872966674465,0.1807492952645824
Senador Canedo,-0.0185736280317559,0.459112529606942,0.5193212886401777,0.45735782633438754,0.537493878955518,6.847811053477519,0.20997870858391313
Lagoa Santa,-0.03544940241665914,0.5150077016234044,0.3912245196233295,0.6576381408199493,0.38775569044684943,2.017406299773118,0.3386887074035708
Cachoeira de Goiás,-0.0482662325891954,0.48953049365554574,0.5243757713547536,0.5790423140044966,0.6044127870396033,8.365667225456157,0.28345886982207075
Serranópolis,-0.01631300723991566,0.461933204510802,0.4792055024297067,0.46801152950468156,0.5143635253094504,1.9387301044486693,0.2161900655720993
Leopoldo de Bulhões,-0.015938327687460393,0.5367959613986485,0.6494031354604584,0.3455534786838426,0.6764104203605783,1.81904508794778,0.1854917118047407
Cachoeira Dourada,-0.06762528016484672,0.8453453384171465,0.8619028913881707,0.633972529440678,0.5464037886013086,8.834650535278739,0.5359257224472043
